Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,213.050003,213.050003,206.649994,206.649994,206.649994,26
2020-02-03,208.250000,216.300003,208.250000,215.250000,215.250000,0
2020-02-10,215.250000,220.750000,215.250000,220.750000,220.750000,0
2020-02-17,220.750000,221.800003,219.449997,219.449997,219.449997,0
2020-02-24,215.013000,215.013000,190.399994,190.399994,190.399994,836
2020-03-02,190.179993,190.300003,181.279999,181.279999,181.279999,0
2020-03-09,171.080002,171.080002,147.919998,149.399994,149.399994,8809
2020-03-16,134.139999,143.460007,130.479996,143.460007,143.460007,3681
2020-03-23,138.160004,150.779999,138.160004,145.279999,145.279999,3814
2020-03-30,148.759995,148.759995,139.399994,139.399994,139.399994,1114
2020-04-06,151.220001,159.259995,148.199997,159.259995,159.259995,105
2020-04-13,159.259995,161.860001,153.279999,158.179993,158.179993,222
2020-04-20,160.199997,160.199997,153.880005,158.860001,158.860001,65
2020-04-27,166.339996,176.600006,166.339996,172.000000,172.000000,0
2020-05-04,162.500000,172.160004,162.500000,172.160004,172.160004,4
2020-05-11,174.860001,174.860001,160.440002,163.380005,163.380005,130
2020-05-18,173.279999,176.039993,171.820007,175.059998,175.059998,258
2020-05-25,177.919998,185.240005,176.839996,176.839996,176.839996,2081
2020-06-01,176.839996,190.699997,176.839996,190.699997,190.699997,914
2020-06-08,191.160004,191.160004,175.779999,175.779999,175.779999,453
2020-06-15,171.119995,182.880005,171.119995,182.259995,182.259995,767
2020-06-22,179.039993,180.600006,174.720001,175.960007,175.960007,393
2020-06-29,null,null,null,null,null,null
2020-07-06,174.539993,177.220001,174.539993,177.220001,177.220001,0
2020-07-13,179.320007,184.080002,176.960007,183.660004,183.660004,541
2020-07-20,182.240005,185.979996,179.940002,179.940002,179.940002,621
2020-07-27,178.000000,180.039993,178.000000,178.759995,178.759995,565
2020-08-03,177.720001,187.899994,177.720001,187.899994,187.899994,43
2020-08-10,192.460007,193.139999,189.820007,189.820007,189.820007,506
2020-08-17,189.839996,189.839996,187.619995,187.619995,187.619995,0
2020-08-24,188.500000,189.679993,187.759995,187.779999,187.779999,144
2020-08-31,187.039993,189.740005,182.479996,182.479996,182.479996,1041
2020-09-07,182.699997,183.179993,181.639999,181.639999,181.639999,156
2020-09-14,183.160004,187.580002,183.160004,185.419998,185.419998,0
2020-09-21,null,null,null,null,null,null
2020-09-28,182.000000,186.039993,182.000000,186.039993,186.039993,9
2020-10-05,196.660004,196.660004,196.660004,196.660004,196.660004,0
2020-10-12,199.399994,199.399994,199.399994,199.399994,199.399994,190
2020-10-19,197.059998,197.059998,197.059998,197.059998,197.059998,0
2020-10-26,189.240005,189.240005,189.240005,189.240005,189.240005,100
2020-11-02,198.059998,198.059998,198.059998,198.059998,198.059998,0
2020-11-09,208.350006,209.100006,208.350006,209.100006,209.100006,962
2020-11-16,214.250000,214.250000,214.250000,214.250000,214.250000,13
2020-11-23,220.300003,220.300003,220.300003,220.300003,220.300003,0
2020-11-30,221.300003,221.300003,221.300003,221.300003,221.300003,0
2020-12-07,224.800003,224.800003,224.800003,224.800003,224.800003,0
2020-12-14,231.800003,231.800003,231.800003,231.800003,231.800003,0
2020-12-21,234.850006,234.850006,234.850006,234.850006,234.850006,0
2020-12-28,228.899994,228.899994,228.899994,228.899994,228.899994,0
2021-01-04,244.449997,245.350006,244.199997,244.949997,244.949997,1023
2021-01-11,250.149994,250.149994,250.149994,250.149994,250.149994,0
2021-01-18,249.199997,249.199997,248.899994,248.899994,248.899994,224
2021-01-25,null,null,null,null,null,null
